pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,57.43718886375427,None,77.42691397666931,None,77.45514607429504,107.4567129611969,77.45514607429504,107.4567129611969,77.44358177185059,None,107.84007692337036,None,110.8274610042572,None,110.8118347644806,112.82365298271179,113.20701193809509,None,118.59576673507691,None,137.39650363922118,138.3965380191803,138.79163098335266,140.79687690734863,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,140.82777905464172,None,140.8135447025299,142.82520985603333,143.2251889705658,None,148.61374683380126,None,167.41489071846007,None,168.8147850036621,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,170.84338998794556,None,170.8265547275543,172.8316249847412,173.22664999961853,None,178.6270918369293,None,197.43288774490355,None,198.8279950618744,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,200.8482449054718,None,200.833074760437,202.8450129032135,203.22837805747986,230.83004307746887,208.62897868156432,None,227.43462677001952,None,228.8295168876648,230.83004307746887,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,230.86310005187988,None,230.84671087265014,232.85132884979248,233.2513279914856,None,238.64665670394896,None,257.4525517940521,None,258.84770107269287,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,260.86819100379944,None,260.8532256603241,262.8647630214691,263.24810791015625,290.8492729663849,268.65325183868407,269.6533570289612,287.44909687042235,None,288.85418605804443,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,290.8824088573456,None,290.86594076156615,292.871013879776,293.2710268497467,None,298.66627378463744,None,317.46729464530944,None,318.87231397628784,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,320.9005858898163,None,320.88401384353637,322.88922905921936,323.2893340587616,None,328.6898886680603,None,347.4853717803955,348.48549604415894,348.8855218887329,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_007.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,350.90570402145386,None,350.8905786991119,352.9024178981781,353.2879660129547,380.8871250152588,358.6912836551666,None,377.4869608402252,None,378.89219999313354,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_008.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,380.92026686668396,None,380.90379281044005,382.9088590145111,383.3088939189911,None,388.7042028427124,389.7091989517212,407.50506682395934,None,408.91015887260437,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_009.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
