pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,0,0,0,0,0,0,0,0,447.03946805000305,None,252.11293697357178,None,252.11293697357178,None,252.11290459632875,None,432.13621497154236,442.13696098327637,443.9202709197998,None,459.03744292259216,499.0396730899811,459.03744292259216,499.0396730899811,459.0211036682129,None,499.4399869441986,None,501.89222407341003,None,501.8754988193512,503.8900890350342,504.27344970703126,None,507.8241277217865,None,528.4745507717132,None,529.8747410774231,531.8772099018097,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_000.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,531.9103169441223,None,531.8938715934753,533.9083380699158,534.2916067123413,537.4464468955994,537.8461726188659,None,558.4927046775817,None,559.8929479122162,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_001.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,561.8964281082153,None,561.8807156562805,563.8949279785156,564.2813055992126,569.4478440284729,569.8433475971221,None,588.4775126457214,None,589.8826489448547,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_002.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,591.8945169448853,None,591.8777378082275,593.8779699802399,594.277825641632,None,599.4953117847442,None,618.462469625473,619.4625360965729,619.862606048584,621.8625490665436,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_003.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,621.8958399295807,None,621.8792107582092,623.8792929649353,624.2795386791229,627.3632678985596,627.7634776115417,None,648.4805326938629,None,649.8685851097107,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_004.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,651.8972549438477,None,651.8807507038116,653.8809239864349,654.2665718078613,657.785640001297,658.2145276546478,659.2144780158997,678.4820456981658,None,679.8655769824982,681.8674910068512,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_005.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,681.9011991024017,None,681.8841526985168,683.8989970684052,684.2827637672424,688.5658910274506,688.9825737953186,None,708.4836786270141,709.4836831092834,709.8837299346924,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_006.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,711.9045429229736,None,711.8885746479034,713.9006268978119,714.2885997772216,None,719.202756690979,None,738.4873636245727,None,739.8851189613342,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_007.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,741.9021780490875,None,741.885729598999,743.904324054718,744.2707777500152,747.3542499542236,747.7568557739257,None,768.4888678073883,None,769.891282081604,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_008.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,771.9063229560852,None,771.8892198085784,773.8889760971069,774.2889566898345,778.0373780727386,778.4375787258148,None,798.490152645111,None,799.8904709815979,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_009.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
