pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,453.03877115249634,None,257.16136503219604,None,257.16136503219604,None,257.1612152099609,None,437.1874170303345,447.1922969818115,448.97101306915283,None,516.7911021709442,556.7932260036469,516.7911021709442,556.7932260036469,516.7910381793976,None,557.1765761375427,None,557.2095940113068,None,557.2098763465881,559.2098641395569,559.5932172775268,562.5268280506134,562.9273501873016,None,583.794415140152,None,585.1824519634247,587.1946020126343,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,587.2278211116791,None,587.211252117157,589.2116701602936,589.613816165924,592.8955640792847,593.3123332500458,None,613.8125392436981,None,615.2133710384369,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,617.230211019516,None,617.2139500617981,619.2297310829163,619.6128992080688,None,625.180020236969,None,643.8141640663147,None,645.1994819641113,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,647.2308111190796,None,647.214156293869,649.219211101532,649.6145082950592,653.1146140098572,653.5145961284637,654.5148491859436,673.8012920856476,None,675.220920085907,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,677.2197971343994,None,677.2015151023865,679.2158210277557,679.5991491317749,681.8206729888916,682.2350400924682,None,703.8027092456817,None,705.1860010623932,707.2028911113739,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,707.2362880706787,None,707.2195412158966,709.2220921516418,709.6221240997314,None,714.6199172973633,None,733.8066481590271,None,735.2376310825348,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,737.2216801643372,None,737.2044111728668,739.2209169864655,739.6045230865478,None,743.7711402416229,None,763.7890581130981,None,765.2081651687622,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,767.2398521900177,None,767.2226451873779,769.2394731044769,769.6250621318817,773.6586961746216,774.0419472694397,None,793.8239311218261,None,795.2407360076904,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_007.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,797.2414829730988,None,797.2241081237793,799.2411060333252,799.6243530750274,None,803.8577841758728,None,823.8255211353302,824.8422820568085,825.2423560619354,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_008.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
,,,,3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,827.244026184082,None,827.2256611824035,829.2425091266632,829.625818157196,None,834.1927272319793,None,853.8270510673523,None,855.2438490390778,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_009.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,3,No,No,No,No,2020_Mär_13_1825,nibs_stage_1,3.2.3,59.99628090070863,
